,강남11개구,강북14개구,수도권,전국,KOSPI,S&P 500
2003-06-01,34.226290842,42.0632758139,46.4281285833,49.5770699192,669.93,974.5
2003-07-01,34.5955219831,42.0866837822,46.684473476,49.7678617809,713.52,990.3099975585938
2003-08-01,35.2340790614,42.2268296201,47.0844489296,50.0721795474,759.47,1008.010009765625
2003-09-01,36.4928790828,42.6592422765,47.933861024,50.7529928288,697.52,995.969970703125
2003-10-01,37.717672762,43.2322352408,49.0054368095,51.6136470473,782.36,1050.7099609375
2003-11-01,37.2235632472,43.2494681891,48.8300156674,51.545679585,796.18,1058.199951171875
2003-12-01,36.8008800222,43.0912903068,48.4877605004,51.2118480097,810.71,1111.9200439453125
2004-01-01,36.6342153992,43.0540799568,48.3455245587,51.1089429835,848.5,1131.1300048828125
2004-02-01,36.9511126446,43.23827879,48.5122391068,51.2893901049,883.42,1144.93994140625
2004-03-01,37.2326885582,43.3640429529,48.6804134432,51.4912528079,880.5,1126.2099609375
2004-04-01,37.5759938328,43.5736639284,48.8764660415,51.6947679408,862.84,1107.300048828125
2004-05-01,37.6362758108,43.6431103067,48.8648431295,51.7518768914,803.84,1120.6800537109375
2004-06-01,37.4976464047,43.6249139238,48.7130327584,51.7009398001,785.79,1140.8399658203125
2004-07-01,37.3398843496,43.4844856291,48.5245615006,51.6071748463,735.34,1101.719970703125
2004-08-01,37.0300424251,43.3535160434,48.2324680889,51.4487538912,803.57,1104.239990234375
2004-09-01,36.8804297263,43.2591795687,48.0101393028,51.3723889599,835.09,1114.5799560546875
2004-10-01,36.7018022777,43.1293141325,47.8067280251,51.3041310571,834.84,1130.199951171875
2004-11-01,36.4594613549,42.9893418772,47.5239027479,51.1058823574,878.06,1173.8199462890625
2004-12-01,36.3055485512,42.8402652677,47.2640778244,50.9140717539,895.92,1211.9200439453125
2005-01-01,36.21426771,42.6776913299,47.0611086105,50.7778100838,932.7,1181.27001953125
2005-02-01,36.8200260894,42.7726194233,47.4272200187,51.0525843373,1011.36,1203.5999755859375
2005-03-01,37.0695583048,42.8891467341,47.7297513506,51.3485893465,965.68,1180.5899658203125
2005-04-01,37.768748025,42.9742412212,48.1379337683,51.7530551555,911.3,1156.8499755859375
2005-05-01,38.3331396994,43.0871541116,48.6030012218,52.1646246533,970.21,1191.5
2005-06-01,39.7512860251,43.1471150759,49.5524544272,52.7958529316,1008.16,1191.3299560546875
2005-07-01,40.8042705206,43.5397495929,50.3790041093,53.3741033345,1111.29,1234.1800537109375
2005-08-01,40.9010939975,43.8663631627,50.5819396525,53.6155440474,1083.33,1220.3299560546875
2005-09-01,40.8970559959,44.0594290862,50.6277220431,53.7348446562,1221.01,1228.81005859375
2005-10-01,40.7176315027,44.1477476896,50.5270422748,53.7339172271,1158.11,1207.010009765625
2005-11-01,40.8755912535,44.1637419364,50.5203689572,53.7604837256,1297.44,1249.47998046875
2005-12-01,41.218524395,44.2203462863,50.6579007749,53.8943382605,1379.37,1248.2900390625
2006-01-01,41.7988077615,44.3264853482,50.9578698743,54.1396933184,1399.83,1280.0799560546875
2006-02-01,42.4200937507,44.5849251361,51.4206422888,54.4767395413,1371.59,1280.6600341796875
2006-03-01,43.5359052208,44.8036412217,52.0762848763,54.9211354092,1359.6,1294.8699951171875
2006-04-01,44.9382958263,45.1665982557,53.0172780442,55.5052892339,1419.73,1310.6099853515625
2006-05-01,46.1878461942,45.5305803513,54.1687522529,56.1951512751,1317.7,1270.0899658203125
